YEAR,Car_Age,MILEAGE,CAR_PRICE
2020,3,20521,28000
2018,5,60282,17032
2022,1,2243,26607
2019,4,34557,21995
2022,1,7872,30818
2022,1,53271,25299
2021,2,12996,27800
2017,6,65000,20998
2022,1,11735,27880
2014,9,,12800
2023,0,2933,30500
